year;month;departement;commune;marche;prix
2015;9;Collines;Dassa-Zoumè;Dassa-Zoumè;225
2015;9;Collines;Glazoué;Glazoué;160
2015;9;Donga;Djougou;Djougou;180
2015;9;Littoral;Cotonou;Dantokpa;265
2015;9;Littoral;Cotonou;Houéyiho;265
2015;9;Plateau;Kétou;Kétou;125
2015;9;Zou;Abomey;Abomey (Houndjro);275
2015;9;Zou;Bohicon;Bohicon;220
2015;10;Alibori;Banikoara;Banikoara;155
2015;10;Alibori;Malanville;Malanville;200
2015;10;Atacora;Tanguiéta;Tanguiéta;210
2015;10;Borgou;Parakou;Parakou;200
2015;10;Collines;Dassa-Zoumè;Dassa-Zoumè;235
2015;10;Collines;Glazoué;Glazoué;150
2015;10;Donga;Djougou;Djougou;210
2015;10;Littoral;Cotonou;Dantokpa;275
2015;10;Littoral;Cotonou;Houéyiho;275
2015;10;Plateau;Kétou;Kétou;150
2015;10;Zou;Abomey;Abomey (Houndjro);275
2015;10;Zou;Bohicon;Bohicon;220
2015;11;Alibori;Banikoara;Banikoara;180
2015;11;Alibori;Malanville;Malanville;165
2015;11;Atacora;Tanguiéta;Tanguiéta;145
2015;11;Borgou;Parakou;Parakou;170
2015;11;Collines;Dassa-Zoumè;Dassa-Zoumè;215
2015;11;Collines;Glazoué;Glazoué;170
2015;11;Donga;Djougou;Djougou;175
2015;11;Littoral;Cotonou;Dantokpa;245
2015;11;Plateau;Kétou;Kétou;125
2015;11;Zou;Abomey;Abomey (Houndjro);220
2015;11;Zou;Bohicon;Bohicon;180
2015;12;Alibori;Banikoara;Banikoara;135
2015;12;Alibori;Malanville;Malanville;165
2015;12;Atacora;Tanguiéta;Tanguiéta;125
2015;12;Borgou;Parakou;Parakou;175
2015;12;Collines;Dassa-Zoumè;Dassa-Zoumè;165
2015;12;Collines;Glazoué;Glazoué;145
2015;12;Donga;Djougou;Djougou;165
2015;12;Littoral;Cotonou;Dantokpa;245
2015;12;Plateau;Kétou;Kétou;140
2015;12;Zou;Abomey;Abomey (Houndjro);220
2015;12;Zou;Bohicon;Bohicon;210
2016;1;Alibori;Banikoara;Banikoara;145
2016;1;Alibori;Malanville;Malanville;165
2016;1;Atacora;Tanguiéta;Ban'têtê (Tanguiéta);152
2016;1;Borgou;Parakou;Arzéké (Parakou);180
2016;1;Collines;Dassa-Zoumè;Ungbadjo (Dassa-Zoumè);165
2016;1;Collines;Glazoué;Gbomina (Glazoué);256
2016;1;Donga;Djougou;Zougou-Yobou (Djougou);160
2016;1;Littoral;Cotonou;Dantokpa;275
