"commune","year","precipitation","month"
"PARAKOU_AEROPORT","2020","176.3","6"
"SAVE","2020","180.4","6"
"BOHICON","2020","188.5","6"
"COTONOU_AEROPORT","2020","329.7","6"
"KANDI_AEROPORT","2020","283","7"
"NATITINGOU_PEPORIYAKOU","2020","201.2","7"
"PARAKOU_AEROPORT","2020","176.6","7"
"SAVE","2020","219","7"
"BOHICON","2020","154.3","7"
"COTONOU_AEROPORT","2020","40.5","7"
"KANDI_AEROPORT","2020","366.9","8"
"NATITINGOU_PEPORIYAKOU","2020","114.1","8"
"PARAKOU_AEROPORT","2020","76.9","8"
"SAVE","2020","7.1","8"
"BOHICON","2020","15.7","8"
"COTONOU_AEROPORT","2020","0","8"
"KANDI_AEROPORT","2020","256.8","9"
"NATITINGOU_PEPORIYAKOU","2020","329.2","9"
"PARAKOU_AEROPORT","2020","271.5","9"
"SAVE","2020","148.9","9"
"BOHICON","2020","163.2","9"
"COTONOU_AEROPORT","2020","197","9"
"KANDI_AEROPORT","2020","62.4","10"
"NATITINGOU_PEPORIYAKOU","2020","134.8","10"
"PARAKOU_AEROPORT","2020","184.1","10"
"SAVE","2020","42.1","10"
"BOHICON","2020","83.7","10"
"COTONOU_AEROPORT","2020","125.1","10"
"KANDI_AEROPORT","2020","0","11"
"NATITINGOU_PEPORIYAKOU","2020","0.4","11"
"PARAKOU_AEROPORT","2020","0","11"
"SAVE","2020","0","11"
"BOHICON","2020","9.8","11"
"COTONOU_AEROPORT","2020","33","11"
"KANDI_AEROPORT","2020","0","12"
"NATITINGOU_PEPORIYAKOU","2020","0","12"
"PARAKOU_AEROPORT","2020","0","12"
"SAVE","2020","0","12"
"BOHICON","2020","0.7","12"
"COTONOU_AEROPORT","2020","8.4","12"
"KANDI_AEROPORT","2021","0","1"
"NATITINGOU_PEPORIYAKOU","2021","0","1"
"PARAKOU_AEROPORT","2021","0","1"
"SAVE","2021","0","1"
"BOHICON","2021","0","1"
"COTONOU_AEROPORT","2021","19.2","1"
"KANDI_AEROPORT","2021","0","2"
"NATITINGOU_PEPORIYAKOU","2021","0","2"
"PARAKOU_AEROPORT","2021","0","2"
"SAVE","2021","0","2"
"BOHICON","2021","0.2","2"
"COTONOU_AEROPORT","2021","14.2","2"
"KANDI_AEROPORT","2021","0","3"
"NATITINGOU_PEPORIYAKOU","2021","12","3"
"PARAKOU_AEROPORT","2021","20.9","3"
"SAVE","2021","130.4","3"
"BOHICON","2021","121.1","3"
"COTONOU_AEROPORT","2021","20.4","3"
"KANDI_AEROPORT","2021","0.3","4"
"NATITINGOU_PEPORIYAKOU","2021","79.9","4"
"PARAKOU_AEROPORT","2021","49.5","4"
"SAVE","2021","95.5","4"
"BOHICON","2021","79.2","4"
"COTONOU_AEROPORT","2021","65","4"
"KANDI_AEROPORT","2021","43.9","5"
"NATITINGOU_PEPORIYAKOU","2021","51.5","5"
"PARAKOU_AEROPORT","2021","118.7","5"
"SAVE","2021","135.4","5"
"BOHICON","2021","29.1","5"
"COTONOU_AEROPORT","2021","116.4","5"
"KANDI_AEROPORT","2021","149.7","6"
"NATITINGOU_PEPORIYAKOU","2021","185.5","6"
"PARAKOU_AEROPORT","2021","208.5","6"
"SAVE","2021","221.8","6"
"BOHICON","2021","182.9","6"
"COTONOU_AEROPORT","2021","200","6"
"KANDI_AEROPORT","2021","215.9","7"
"NATITINGOU_PEPORIYAKOU","2021","269.7","7"
"PARAKOU_AEROPORT","2021","184.5","7"
"SAVE","2021","58.6","7"
"BOHICON","2021","123","7"
"COTONOU_AEROPORT","2021","105.6","7"
"KANDI_AEROPORT","2021","428.1","8"
"NATITINGOU_PEPORIYAKOU","2021","230.2","8"
"PARAKOU_AEROPORT","2021","392.6","8"
"SAVE","2021","244","8"
"BOHICON","2021","71.6","8"
"COTONOU_AEROPORT","2021","77.4","8"
"KANDI_AEROPORT","2021","303.5","9"
"NATITINGOU_PEPORIYAKOU","2021","147.5","9"
"PARAKOU_AEROPORT","2021","270.7","9"
"SAVE","2021","220.7","9"
"BOHICON","2021","223","9"
"COTONOU_AEROPORT","2021","155.2","9"
"KANDI_AEROPORT","2021","4.1","10"
"NATITINGOU_PEPORIYAKOU","2021","174.3","10"
"PARAKOU_AEROPORT","2021","76.7","10"
